name,version,license_expression,license_file_present
annotated-types,0.8.0,MIT,true
anyio,4.14.2,MIT,true
attrs,26.1.0,MIT,true
cffi,2.1.0,MIT-0,true
click,8.4.2,BSD-3-Clause,true
cryptography,50.0.0,Apache-2.0 OR BSD-3-Clause,true
h11,0.16.0,MIT,true
httpcore2,2.9.1,BSD-3-Clause,true
httpx2,2.9.1,BSD-3-Clause,true
idna,3.18,BSD-3-Clause,true
jsonschema,4.26.0,MIT,true
jsonschema-specifications,2025.9.1,MIT,true
mcp,2.0.0,MIT,true
mcp-types,2.0.0,MIT,true
opentelemetry-api,1.44.0,Apache-2.0,true
pip,26.2,MIT,true
pycparser,3.0,BSD-3-Clause,true
pydantic,2.13.4,MIT,true
pydantic_core,2.46.4,MIT,true
PyJWT,2.13.0,MIT,true
python-multipart,0.0.32,Apache-2.0,true
referencing,0.37.0,MIT,true
rpds-py,2026.6.3,MIT,true
setuptools,83.0.0,MIT,true
sse-starlette,3.4.6,BSD-3-Clause,true
starlette,1.3.1,BSD-3-Clause,true
truststore,0.10.4,MIT,true
typing-inspection,0.4.2,MIT,true
typing_extensions,4.16.0,PSF-2.0,true
uvicorn,0.52.0,BSD-3-Clause,true
