# Harris-Priester coefficients from local MATLAB HPOP HPcoeff.m
# density columns are HPOP gram/km^3 values; runtime converts to kg/m^3.
f107,altitude_km,rho_min_g_km3,rho_max_g_km3
65,1.1000000e+02,7.8000000e+01,7.8000000e+01
65,1.2000000e+02,2.4900000e+01,2.4900000e+01
65,1.3000000e+02,8.9780000e+00,9.3310000e+00
65,1.4000000e+02,4.0690000e+00,4.2120000e+00
65,1.5000000e+02,2.0860000e+00,2.1680000e+00
65,1.6000000e+02,1.1460000e+00,1.2360000e+00
65,1.7000000e+02,6.6160000e-01,7.5580000e-01
65,1.8000000e+02,4.0160000e-01,4.8850000e-01
65,1.9000000e+02,2.5300000e-01,3.2740000e-01
65,2.0000000e+02,1.6280000e-01,2.2840000e-01
65,2.1000000e+02,1.0760000e-01,1.6340000e-01
65,2.2000000e+02,7.2870000e-02,1.1920000e-01
65,2.3000000e+02,5.0380000e-02,8.8510000e-02
65,2.4000000e+02,3.5490000e-02,6.6660000e-02
65,2.5000000e+02,2.5410000e-02,5.0830000e-02
65,2.6000000e+02,1.8460000e-02,3.9190000e-02
65,2.7000000e+02,1.3580000e-02,3.0500000e-02
65,2.8000000e+02,1.0100000e-02,2.3940000e-02
65,2.9000000e+02,7.5880000e-03,1.8940000e-02
65,3.0000000e+02,5.7190000e-03,1.5100000e-02
65,3.2000000e+02,3.3050000e-03,9.8860000e-03
65,3.4000000e+02,1.9530000e-03,6.6080000e-03
65,3.6000000e+02,1.1750000e-03,4.4940000e-03
65,3.8000000e+02,7.1670000e-04,3.1000000e-03
65,4.0000000e+02,4.4280000e-04,2.1630000e-03
65,4.2000000e+02,2.7790000e-04,1.5260000e-03
65,4.4000000e+02,1.7600000e-04,1.0850000e-03
65,4.6000000e+02,1.1280000e-04,7.7670000e-04
65,4.8000000e+02,7.3460000e-05,5.5990000e-04
65,5.0000000e+02,4.8660000e-05,4.0610000e-04
65,5.2000000e+02,3.2910000e-05,2.9630000e-04
65,5.4000000e+02,2.2790000e-05,2.1740000e-04
65,5.6000000e+02,1.6220000e-05,1.6050000e-04
65,5.8000000e+02,1.1880000e-05,1.1920000e-04
65,6.0000000e+02,8.9780000e-06,8.9100000e-05
65,6.2000000e+02,6.9870000e-06,6.7080000e-05
65,6.4000000e+02,5.5930000e-06,5.0900000e-05
65,6.6000000e+02,4.5890000e-06,3.8960000e-05
65,6.8000000e+02,3.8460000e-06,3.0110000e-05
65,7.0000000e+02,3.2810000e-06,2.3510000e-05
65,7.2000000e+02,2.8380000e-06,1.8570000e-05
65,7.4000000e+02,2.4820000e-06,1.4840000e-05
65,7.6000000e+02,2.1900000e-06,1.2020000e-05
65,7.8000000e+02,1.9440000e-06,9.8570000e-06
65,8.0000000e+02,1.7360000e-06,8.1930000e-06
65,8.5000000e+02,1.1800000e-06,6.2000000e-06
65,9.0000000e+02,8.7000000e-07,4.4000000e-06
65,9.5000000e+02,6.6000000e-07,3.3000000e-06
65,1.0000000e+03,4.8000000e-07,2.7000000e-06
65,1.1000000e+03,3.0000000e-07,1.7500000e-06
65,1.2000000e+03,1.8500000e-07,1.2000000e-06
65,1.3000000e+03,1.1300000e-07,8.5000000e-07
65,1.4000000e+03,7.3000000e-08,6.2000000e-07
65,1.5000000e+03,5.2000000e-08,4.7500000e-07
65,1.6000000e+03,3.7000000e-08,3.6500000e-07
65,1.7000000e+03,2.5500000e-08,3.0000000e-07
65,1.8000000e+03,1.8200000e-08,2.2000000e-07
65,1.9000000e+03,1.3000000e-08,1.8000000e-07
65,2.0000000e+03,1.0000000e-08,1.4500000e-07
75,1.1000000e+02,7.8000000e+01,7.8000000e+01
75,1.2000000e+02,2.4900000e+01,2.4900000e+01
75,1.3000000e+02,8.9130000e+00,9.2630000e+00
75,1.4000000e+02,4.0510000e+00,4.1970000e+00
75,1.5000000e+02,2.0920000e+00,2.1760000e+00
75,1.6000000e+02,1.1600000e+00,1.2490000e+00
75,1.7000000e+02,6.7810000e-01,7.6970000e-01
75,1.8000000e+02,4.1570000e-01,5.0160000e-01
75,1.9000000e+02,2.6530000e-01,3.3910000e-01
